,Date,Total Shootings
0,01/01/2006,8
1,01/01/2007,18
2,01/01/2008,19
3,01/01/2009,7
4,01/01/2010,8
5,01/01/2011,12
6,01/01/2012,11
7,01/01/2013,11
8,01/01/2014,12
9,01/01/2015,3
10,01/01/2016,7
11,01/01/2017,7
12,01/01/2018,5
13,01/01/2019,3
14,01/01/2020,4
15,01/01/2021,10
16,01/01/2022,5
17,01/02/2006,4
18,01/02/2007,4
19,01/02/2008,2
20,01/02/2009,3
21,01/02/2010,2
22,01/02/2011,4
23,01/02/2012,3
24,01/02/2013,2
25,01/02/2014,4
26,01/02/2015,6
27,01/02/2016,3
28,01/02/2017,7
29,01/02/2019,1
30,01/02/2020,8
31,01/02/2021,4
32,01/02/2022,3
33,01/03/2006,4
34,01/03/2007,7
35,01/03/2009,5
36,01/03/2010,2
37,01/03/2011,1
38,01/03/2012,2
39,01/03/2013,10
40,01/03/2014,10
41,01/03/2015,2
42,01/03/2016,3
43,01/03/2017,3
44,01/03/2018,4
45,01/03/2019,2
46,01/03/2020,1
47,01/03/2021,7
48,01/03/2022,3
49,01/04/2006,4
50,01/04/2007,3
51,01/04/2008,4
52,01/04/2009,3
53,01/04/2010,1
54,01/04/2012,1
55,01/04/2013,4
56,01/04/2014,2
57,01/04/2015,1
58,01/04/2016,1
59,01/04/2017,2
60,01/04/2019,2
61,01/04/2020,3
62,01/04/2021,3
63,01/04/2022,1
64,01/05/2006,4
65,01/05/2007,5
66,01/05/2008,9
67,01/05/2009,2
68,01/05/2010,1
69,01/05/2011,5
70,01/05/2012,9
71,01/05/2013,4
72,01/05/2014,1
73,01/05/2015,7
74,01/05/2016,2
75,01/05/2017,1
76,01/05/2018,1
77,01/05/2019,3
78,01/05/2020,3
79,01/05/2021,1
80,01/05/2022,2
81,01/06/2006,4
82,01/06/2007,1
83,01/06/2008,3
84,01/06/2009,1
85,01/06/2010,1
86,01/06/2011,5
87,01/06/2012,4
88,01/06/2013,4
89,01/06/2014,1
90,01/06/2015,6
91,01/06/2016,3
92,01/06/2017,4
93,01/06/2018,20
94,01/06/2019,4
95,01/06/2020,1
96,01/06/2021,2
97,01/06/2022,6
98,01/07/2006,2
99,01/07/2007,5
100,01/07/2008,5
101,01/07/2010,1
102,01/07/2012,4
103,01/07/2013,11
104,01/07/2014,1
105,01/07/2015,2
106,01/07/2016,1
107,01/07/2019,2
108,01/07/2020,7
109,01/07/2021,2
110,01/07/2022,5
111,01/08/2006,4
112,01/08/2007,2
113,01/08/2008,2
114,01/08/2009,2
115,01/08/2010,4
116,01/08/2011,1
117,01/08/2012,5
