Date;Victim Sex;Total Shootings
01-Jan-06;M;8
02-Jan-06;M;4
03-Jan-06;M;4
04-Jan-06;M;4
05-Jan-06;M;4
06-Jan-06;M;4
07-Jan-06;M;2
08-Jan-06;M;4
09-Jan-06;M;9
10-Jan-06;M;5
11-Jan-06;M;2
12-Jan-06;M;2
13-Jan-06;M;7
14-Jan-06;F;2
14-Jan-06;M;3
15-Jan-06;M;4
16-Jan-06;M;4
17-Jan-06;M;4
18-Jan-06;M;3
19-Jan-06;F;1
19-Jan-06;M;8
20-Jan-06;M;2
21-Jan-06;M;5
22-Jan-06;F;1
22-Jan-06;M;9
23-Jan-06;F;1
23-Jan-06;M;2
24-Jan-06;M;3
25-Jan-06;M;4
26-Jan-06;M;1
28-Jan-06;F;1
28-Jan-06;M;3
29-Jan-06;M;4
30-Jan-06;M;3
31-Jan-06;M;2
01-Feb-06;M;7
02-Feb-06;M;2
03-Feb-06;M;2
04-Feb-06;M;10
05-Feb-06;M;7
06-Feb-06;M;2
07-Feb-06;M;1
08-Feb-06;F;1
08-Feb-06;M;1
09-Feb-06;F;1
09-Feb-06;M;1
10-Feb-06;M;3
11-Feb-06;M;4
12-Feb-06;M;2
13-Feb-06;M;2
14-Feb-06;M;2
15-Feb-06;M;3
16-Feb-06;M;2
17-Feb-06;F;3
17-Feb-06;M;8
18-Feb-06;M;2
19-Feb-06;F;1
19-Feb-06;M;9
20-Feb-06;M;2
21-Feb-06;M;4
22-Feb-06;M;3
24-Feb-06;M;2
25-Feb-06;M;3
26-Feb-06;M;2
28-Feb-06;M;5
02-Mar-06;M;3
03-Mar-06;M;2
04-Mar-06;M;5
05-Mar-06;M;4
06-Mar-06;F;1
06-Mar-06;M;3
09-Mar-06;M;6
10-Mar-06;M;2
11-Mar-06;M;6
12-Mar-06;M;2
13-Mar-06;M;3
14-Mar-06;M;1
15-Mar-06;M;1
16-Mar-06;F;1
16-Mar-06;M;5
17-Mar-06;M;2
18-Mar-06;M;1
19-Mar-06;F;1
19-Mar-06;M;3
20-Mar-06;F;1
20-Mar-06;M;4
21-Mar-06;M;4
22-Mar-06;M;2
23-Mar-06;F;1
23-Mar-06;M;3
24-Mar-06;M;5
25-Mar-06;M;7
26-Mar-06;M;6
27-Mar-06;M;4
28-Mar-06;M;4
29-Mar-06;M;3
31-Mar-06;F;1
31-Mar-06;M;5
01-Apr-06;M;8
02-Apr-06;F;2
02-Apr-06;M;8
03-Apr-06;F;1
03-Apr-06;M;3
04-Apr-06;M;3
05-Apr-06;M;2
06-Apr-06;M;5
07-Apr-06;M;1
08-Apr-06;M;6
09-Apr-06;M;1
10-Apr-06;M;7
11-Apr-06;M;3
12-Apr-06;M;1
13-Apr-06;M;4
14-Apr-06;M;6
15-Apr-06;M;6
16-Apr-06;M;7
17-Apr-06;M;6
18-Apr-06;M;4
19-Apr-06;M;3
20-Apr-06;F;6
20-Apr-06;M;2
21-Apr-06;M;14
22-Apr-06;M;6
23-Apr-06;F;1
23-Apr-06;M;5
24-Apr-06;F;1
24-Apr-06;M;4
25-Apr-06;M;4
26-Apr-06;M;7
27-Apr-06;F;1
27-Apr-06;M;2
28-Apr-06;M;6
29-Apr-06;M;4
30-Apr-06;M;6
01-May-06;M;7
02-May-06;M;3
03-May-06;M;4
04-May-06;M;5
05-May-06;M;10
06-May-06;M;5
07-May-06;F;6
07-May-06;M;9
08-May-06;M;3
09-May-06;M;1
10-May-06;M;6
11-May-06;M;4
12-May-06;M;2
13-May-06;M;5
14-May-06;F;2
14-May-06;M;3
15-May-06;M;2
16-May-06;M;1
17-May-06;M;7
18-May-06;F;1
18-May-06;M;5
19-May-06;M;1
20-May-06;F;1
20-May-06;M;8
21-May-06;F;1
21-May-06;M;7
22-May-06;M;5
23-May-06;M;13
24-May-06;M;6
25-May-06;M;4
26-May-06;M;6
27-May-06;M;4
28-May-06;M;10
29-May-06;F;1
29-May-06;M;10
30-May-06;M;3
31-May-06;M;2
01-Jun-06;M;4
02-Jun-06;M;4
03-Jun-06;M;10
04-Jun-06;F;1
04-Jun-06;M;6
05-Jun-06;F;1
05-Jun-06;M;3
06-Jun-06;M;2
07-Jun-06;M;3
08-Jun-06;F;1
08-Jun-06;M;2
09-Jun-06;M;5
10-Jun-06;M;4
11-Jun-06;M;2
12-Jun-06;F;2
12-Jun-06;M;10
13-Jun-06;F;2
13-Jun-06;M;3
14-Jun-06;M;4
15-Jun-06;M;3
16-Jun-06;M;2
17-Jun-06;F;1
17-Jun-06;M;5
18-Jun-06;F;1
18-Jun-06;M;17
19-Jun-06;F;1
19-Jun-06;M;5
20-Jun-06;M;8
21-Jun-06;F;1
21-Jun-06;M;5
22-Jun-06;M;5
23-Jun-06;F;1
23-Jun-06;M;10
24-Jun-06;M;7
25-Jun-06;F;1
25-Jun-06;M;3
26-Jun-06;M;4
