Date;Borough;Total Shootings
01 Jan 06;BRONX;2
01 Jan 06;BROOKLYN;2
01 Jan 06;MANHATTAN;1
01 Jan 06;QUEENS;3
02 Jan 06;BROOKLYN;3
02 Jan 06;STATEN ISLAND;1
03 Jan 06;BROOKLYN;2
03 Jan 06;QUEENS;2
04 Jan 06;BRONX;1
04 Jan 06;BROOKLYN;1
04 Jan 06;QUEENS;2
05 Jan 06;BRONX;2
05 Jan 06;BROOKLYN;2
06 Jan 06;BRONX;3
06 Jan 06;QUEENS;1
07 Jan 06;BROOKLYN;1
07 Jan 06;QUEENS;1
08 Jan 06;BROOKLYN;2
08 Jan 06;QUEENS;1
08 Jan 06;STATEN ISLAND;1
09 Jan 06;BRONX;4
09 Jan 06;BROOKLYN;4
09 Jan 06;MANHATTAN;1
10 Jan 06;BRONX;1
10 Jan 06;BROOKLYN;4
11 Jan 06;BROOKLYN;1
11 Jan 06;MANHATTAN;1
12 Jan 06;BROOKLYN;1
12 Jan 06;MANHATTAN;1
13 Jan 06;BRONX;2
13 Jan 06;BROOKLYN;2
13 Jan 06;QUEENS;1
13 Jan 06;STATEN ISLAND;2
14 Jan 06;BRONX;2
14 Jan 06;BROOKLYN;1
14 Jan 06;MANHATTAN;1
14 Jan 06;QUEENS;1
15 Jan 06;BRONX;2
15 Jan 06;BROOKLYN;2
16 Jan 06;BRONX;2
16 Jan 06;BROOKLYN;2
17 Jan 06;BRONX;3
17 Jan 06;MANHATTAN;1
18 Jan 06;BROOKLYN;3
19 Jan 06;BRONX;1
19 Jan 06;BROOKLYN;1
19 Jan 06;MANHATTAN;5
19 Jan 06;QUEENS;1
19 Jan 06;STATEN ISLAND;1
20 Jan 06;BROOKLYN;1
20 Jan 06;MANHATTAN;1
21 Jan 06;BRONX;2
21 Jan 06;BROOKLYN;1
21 Jan 06;MANHATTAN;1
21 Jan 06;STATEN ISLAND;1
22 Jan 06;BRONX;4
22 Jan 06;BROOKLYN;4
22 Jan 06;MANHATTAN;1
22 Jan 06;QUEENS;1
23 Jan 06;BRONX;1
23 Jan 06;BROOKLYN;1
23 Jan 06;MANHATTAN;1
24 Jan 06;BRONX;1
24 Jan 06;BROOKLYN;1
24 Jan 06;QUEENS;1
25 Jan 06;BRONX;3
25 Jan 06;QUEENS;1
26 Jan 06;BROOKLYN;1
28 Jan 06;BRONX;2
28 Jan 06;BROOKLYN;2
29 Jan 06;BRONX;2
29 Jan 06;MANHATTAN;1
29 Jan 06;QUEENS;1
30 Jan 06;BROOKLYN;3
31 Jan 06;BROOKLYN;1
31 Jan 06;QUEENS;1
01 Feb 06;BRONX;3
01 Feb 06;BROOKLYN;1
01 Feb 06;MANHATTAN;1
01 Feb 06;QUEENS;2
02 Feb 06;BROOKLYN;2
03 Feb 06;MANHATTAN;2
04 Feb 06;BRONX;5
04 Feb 06;MANHATTAN;3
04 Feb 06;QUEENS;2
05 Feb 06;BRONX;1
05 Feb 06;BROOKLYN;3
05 Feb 06;MANHATTAN;1
05 Feb 06;QUEENS;2
06 Feb 06;QUEENS;2
07 Feb 06;MANHATTAN;1
08 Feb 06;BROOKLYN;2
09 Feb 06;QUEENS;2
10 Feb 06;BROOKLYN;1
10 Feb 06;MANHATTAN;2
11 Feb 06;BRONX;2
11 Feb 06;BROOKLYN;1
11 Feb 06;MANHATTAN;1
12 Feb 06;BROOKLYN;1
12 Feb 06;QUEENS;1
13 Feb 06;BROOKLYN;1
13 Feb 06;MANHATTAN;1
14 Feb 06;QUEENS;2
15 Feb 06;BROOKLYN;2
15 Feb 06;STATEN ISLAND;1
16 Feb 06;BRONX;1
16 Feb 06;BROOKLYN;1
17 Feb 06;BRONX;5
17 Feb 06;BROOKLYN;3
17 Feb 06;QUEENS;3
18 Feb 06;BRONX;1
18 Feb 06;BROOKLYN;1
19 Feb 06;BRONX;1
19 Feb 06;BROOKLYN;6
19 Feb 06;MANHATTAN;1
19 Feb 06;QUEENS;2
20 Feb 06;MANHATTAN;2
21 Feb 06;BRONX;1
21 Feb 06;BROOKLYN;1
21 Feb 06;MANHATTAN;1
21 Feb 06;QUEENS;1
22 Feb 06;BROOKLYN;2
22 Feb 06;QUEENS;1
24 Feb 06;BRONX;1
24 Feb 06;BROOKLYN;1
25 Feb 06;BROOKLYN;2
25 Feb 06;QUEENS;1
26 Feb 06;BROOKLYN;1
26 Feb 06;STATEN ISLAND;1
28 Feb 06;BRONX;1
28 Feb 06;BROOKLYN;2
28 Feb 06;QUEENS;2
02 Mar 06;BRONX;2
02 Mar 06;BROOKLYN;1
03 Mar 06;BROOKLYN;2
04 Mar 06;BRONX;1
04 Mar 06;BROOKLYN;2
04 Mar 06;MANHATTAN;1
04 Mar 06;STATEN ISLAND;1
05 Mar 06;BRONX;4
06 Mar 06;BRONX;2
06 Mar 06;BROOKLYN;2
09 Mar 06;BRONX;2
09 Mar 06;BROOKLYN;4
10 Mar 06;BRONX;1
10 Mar 06;BROOKLYN;1
11 Mar 06;BRONX;1
11 Mar 06;BROOKLYN;4
11 Mar 06;MANHATTAN;1
12 Mar 06;BRONX;2
13 Mar 06;BROOKLYN;2
13 Mar 06;QUEENS;1
14 Mar 06;BRONX;1
15 Mar 06;STATEN ISLAND;1
16 Mar 06;BROOKLYN;2
16 Mar 06;MANHATTAN;3
16 Mar 06;QUEENS;1
17 Mar 06;BRONX;1
17 Mar 06;BROOKLYN;1
18 Mar 06;BROOKLYN;1
19 Mar 06;BRONX;2
19 Mar 06;BROOKLYN;2
20 Mar 06;BROOKLYN;3
20 Mar 06;QUEENS;2
21 Mar 06;BRONX;1
21 Mar 06;BROOKLYN;2
21 Mar 06;MANHATTAN;1
22 Mar 06;BROOKLYN;1
22 Mar 06;QUEENS;1
23 Mar 06;BRONX;1
23 Mar 06;BROOKLYN;1
23 Mar 06;MANHATTAN;2
24 Mar 06;BRONX;1
24 Mar 06;BROOKLYN;3
24 Mar 06;MANHATTAN;1
25 Mar 06;BROOKLYN;5
25 Mar 06;MANHATTAN;1
25 Mar 06;QUEENS;1
26 Mar 06;BRONX;1
26 Mar 06;BROOKLYN;1
26 Mar 06;QUEENS;2
26 Mar 06;STATEN ISLAND;2
27 Mar 06;BROOKLYN;3
27 Mar 06;QUEENS;1
28 Mar 06;BRONX;3
28 Mar 06;BROOKLYN;1
29 Mar 06;BRONX;1
29 Mar 06;BROOKLYN;1
29 Mar 06;MANHATTAN;1
31 Mar 06;BROOKLYN;3
31 Mar 06;MANHATTAN;3
01 Apr 06;BRONX;1
01 Apr 06;BROOKLYN;5
01 Apr 06;MANHATTAN;1
01 Apr 06;QUEENS;1
02 Apr 06;BRONX;6
02 Apr 06;MANHATTAN;4
03 Apr 06;BRONX;1
03 Apr 06;BROOKLYN;2
03 Apr 06;MANHATTAN;1
04 Apr 06;BRONX;1
04 Apr 06;BROOKLYN;1
04 Apr 06;MANHATTAN;1
05 Apr 06;MANHATTAN;1
05 Apr 06;QUEENS;1
06 Apr 06;BROOKLYN;2
06 Apr 06;MANHATTAN;3
07 Apr 06;BROOKLYN;1
08 Apr 06;BRONX;1
08 Apr 06;BROOKLYN;2
08 Apr 06;QUEENS;3
09 Apr 06;BROOKLYN;1
10 Apr 06;BRONX;3
10 Apr 06;BROOKLYN;2
10 Apr 06;QUEENS;1
10 Apr 06;STATEN ISLAND;1
11 Apr 06;BRONX;3
12 Apr 06;BROOKLYN;1
13 Apr 06;BRONX;2
13 Apr 06;BROOKLYN;1
13 Apr 06;QUEENS;1
14 Apr 06;BRONX;2
14 Apr 06;BROOKLYN;3
14 Apr 06;MANHATTAN;1
15 Apr 06;BRONX;3
15 Apr 06;BROOKLYN;3
16 Apr 06;BRONX;2
16 Apr 06;BROOKLYN;1
16 Apr 06;MANHATTAN;1
16 Apr 06;QUEENS;3
17 Apr 06;BRONX;3
17 Apr 06;QUEENS;3
18 Apr 06;BRONX;1
18 Apr 06;BROOKLYN;3
19 Apr 06;BROOKLYN;2
19 Apr 06;STATEN ISLAND;1
20 Apr 06;BRONX;6
20 Apr 06;BROOKLYN;1
20 Apr 06;QUEENS;1
21 Apr 06;BRONX;1
21 Apr 06;BROOKLYN;12
21 Apr 06;MANHATTAN;1
22 Apr 06;QUEENS;6
23 Apr 06;BRONX;3
23 Apr 06;BROOKLYN;1
23 Apr 06;QUEENS;1
23 Apr 06;STATEN ISLAND;1
24 Apr 06;BRONX;2
24 Apr 06;BROOKLYN;3
25 Apr 06;BRONX;1
25 Apr 06;BROOKLYN;1
25 Apr 06;MANHATTAN;1
25 Apr 06;QUEENS;1
26 Apr 06;BRONX;1
26 Apr 06;BROOKLYN;1
26 Apr 06;MANHATTAN;1
26 Apr 06;QUEENS;4
27 Apr 06;BROOKLYN;1
27 Apr 06;QUEENS;2
28 Apr 06;BRONX;1
28 Apr 06;BROOKLYN;1
28 Apr 06;MANHATTAN;3
28 Apr 06;QUEENS;1
29 Apr 06;BRONX;1
29 Apr 06;BROOKLYN;2
29 Apr 06;MANHATTAN;1
30 Apr 06;BRONX;1
30 Apr 06;BROOKLYN;1
30 Apr 06;STATEN ISLAND;4
01 May 06;BRONX;1
01 May 06;BROOKLYN;4
01 May 06;MANHATTAN;1
01 May 06;QUEENS;1
02 May 06;BROOKLYN;2
02 May 06;QUEENS;1
03 May 06;BRONX;3
03 May 06;MANHATTAN;1
04 May 06;BROOKLYN;3
04 May 06;QUEENS;2
05 May 06;BRONX;2
05 May 06;BROOKLYN;6
05 May 06;MANHATTAN;1
05 May 06;QUEENS;1
06 May 06;BRONX;2
06 May 06;BROOKLYN;2
06 May 06;MANHATTAN;1
07 May 06;BRONX;1
07 May 06;BROOKLYN;10
