,Date,Victim Race,Total Shootings
0,01/01/2006,BLACK,7
1,01/01/2006,WHITE HISPANIC,1
2,01/01/2007,BLACK,14
3,01/01/2007,BLACK HISPANIC,4
4,01/01/2008,BLACK,12
5,01/01/2008,BLACK HISPANIC,3
6,01/01/2008,WHITE HISPANIC,4
7,01/01/2009,BLACK,7
8,01/01/2010,BLACK,5
9,01/01/2010,WHITE,1
10,01/01/2010,WHITE HISPANIC,2
11,01/01/2011,BLACK,9
12,01/01/2011,BLACK HISPANIC,3
13,01/01/2012,BLACK,11
14,01/01/2013,BLACK,8
15,01/01/2013,BLACK HISPANIC,1
16,01/01/2013,WHITE HISPANIC,2
17,01/01/2014,BLACK,10
18,01/01/2014,BLACK HISPANIC,2
19,01/01/2015,BLACK,1
20,01/01/2015,BLACK HISPANIC,2
21,01/01/2016,BLACK,4
22,01/01/2016,WHITE HISPANIC,3
23,01/01/2017,BLACK,5
24,01/01/2017,WHITE HISPANIC,2
25,01/01/2018,BLACK,4
26,01/01/2018,WHITE,1
27,01/01/2019,BLACK,3
28,01/01/2020,BLACK,4
29,01/01/2021,BLACK,8
30,01/01/2021,WHITE HISPANIC,2
31,01/01/2022,BLACK,3
32,01/01/2022,BLACK HISPANIC,1
33,01/01/2022,WHITE,1
34,01/02/2006,BLACK,3
35,01/02/2006,BLACK HISPANIC,1
36,01/02/2007,BLACK,3
37,01/02/2007,WHITE HISPANIC,1
38,01/02/2008,BLACK,2
39,01/02/2009,BLACK,3
40,01/02/2010,BLACK,1
41,01/02/2010,WHITE HISPANIC,1
42,01/02/2011,BLACK,2
43,01/02/2011,WHITE HISPANIC,2
44,01/02/2012,BLACK,2
45,01/02/2012,WHITE HISPANIC,1
46,01/02/2013,BLACK,2
47,01/02/2014,BLACK,4
48,01/02/2015,BLACK,4
49,01/02/2015,BLACK HISPANIC,1
50,01/02/2015,WHITE HISPANIC,1
51,01/02/2016,BLACK,1
52,01/02/2016,WHITE HISPANIC,2
53,01/02/2017,BLACK,4
54,01/02/2017,BLACK HISPANIC,3
55,01/02/2019,WHITE HISPANIC,1
56,01/02/2020,BLACK,4
57,01/02/2020,WHITE,2
58,01/02/2020,WHITE HISPANIC,2
59,01/02/2021,BLACK,2
60,01/02/2021,WHITE HISPANIC,2
61,01/02/2022,BLACK,2
62,01/02/2022,BLACK HISPANIC,1
63,01/03/2006,BLACK,3
64,01/03/2006,WHITE,1
65,01/03/2007,BLACK,5
66,01/03/2007,BLACK HISPANIC,1
67,01/03/2007,WHITE HISPANIC,1
68,01/03/2009,BLACK,5
69,01/03/2010,BLACK,2
70,01/03/2011,BLACK,1
71,01/03/2012,BLACK,1
72,01/03/2012,WHITE HISPANIC,1
73,01/03/2013,BLACK,7
74,01/03/2013,BLACK HISPANIC,2
75,01/03/2013,WHITE,1
76,01/03/2014,BLACK,8
77,01/03/2014,UNKNOWN,2
78,01/03/2015,BLACK,2
79,01/03/2016,BLACK,3
80,01/03/2017,BLACK,2
81,01/03/2017,WHITE HISPANIC,1
82,01/03/2018,BLACK,1
83,01/03/2018,BLACK HISPANIC,2
84,01/03/2018,WHITE HISPANIC,1
85,01/03/2019,BLACK,2
86,01/03/2020,WHITE HISPANIC,1
87,01/03/2021,BLACK,7
88,01/03/2022,BLACK,1
89,01/03/2022,BLACK HISPANIC,1
90,01/03/2022,WHITE,1
91,01/04/2006,ASIAN / PACIFIC ISLANDER,1
92,01/04/2006,BLACK,3
93,01/04/2007,BLACK,2
94,01/04/2007,BLACK HISPANIC,1
95,01/04/2008,BLACK,3
96,01/04/2008,BLACK HISPANIC,1
97,01/04/2009,BLACK,2
98,01/04/2009,WHITE HISPANIC,1
99,01/04/2010,BLACK,1
100,01/04/2012,BLACK,1
101,01/04/2013,BLACK,1
102,01/04/2013,BLACK HISPANIC,3
103,01/04/2014,BLACK,2
104,01/04/2015,WHITE,1
105,01/04/2016,BLACK,1
106,01/04/2017,BLACK,1
107,01/04/2017,WHITE HISPANIC,1
108,01/04/2019,BLACK,2
109,01/04/2020,BLACK,3
110,01/04/2021,BLACK,2
111,01/04/2021,WHITE HISPANIC,1
112,01/04/2022,BLACK,1
113,01/05/2006,BLACK,1
114,01/05/2006,WHITE HISPANIC,3
115,01/05/2007,BLACK,5
116,01/05/2008,BLACK,6
117,01/05/2008,WHITE,1
118,01/05/2008,WHITE HISPANIC,2
119,01/05/2009,BLACK,1
120,01/05/2009,WHITE HISPANIC,1
121,01/05/2010,BLACK,1
122,01/05/2011,BLACK,2
123,01/05/2011,WHITE,3
124,01/05/2012,BLACK,4
125,01/05/2012,BLACK HISPANIC,2
126,01/05/2012,WHITE HISPANIC,3
127,01/05/2013,BLACK,2
128,01/05/2013,WHITE HISPANIC,2
129,01/05/2014,BLACK HISPANIC,1
130,01/05/2015,BLACK,2
131,01/05/2015,BLACK HISPANIC,2
132,01/05/2015,WHITE,3
133,01/05/2016,BLACK,2
134,01/05/2017,BLACK,1
135,01/05/2018,ASIAN / PACIFIC ISLANDER,1
136,01/05/2019,BLACK,2
137,01/05/2019,BLACK HISPANIC,1
138,01/05/2020,BLACK,3
139,01/05/2021,BLACK,1
140,01/05/2022,BLACK,2
141,01/06/2006,BLACK,2
142,01/06/2006,BLACK HISPANIC,1
143,01/06/2006,WHITE,1
144,01/06/2007,BLACK,1
145,01/06/2008,BLACK,2
146,01/06/2008,WHITE HISPANIC,1
147,01/06/2009,BLACK,1
148,01/06/2010,BLACK,1
149,01/06/2011,BLACK,5
150,01/06/2012,BLACK,4
151,01/06/2013,BLACK,4
152,01/06/2014,BLACK,1
153,01/06/2015,BLACK,1
154,01/06/2015,BLACK HISPANIC,5
155,01/06/2016,BLACK,3
156,01/06/2017,BLACK,2
157,01/06/2017,WHITE HISPANIC,2
158,01/06/2018,BLACK,2
159,01/06/2018,BLACK HISPANIC,6
160,01/06/2018,WHITE HISPANIC,12
161,01/06/2019,BLACK,1
162,01/06/2019,BLACK HISPANIC,1
163,01/06/2019,WHITE HISPANIC,2
164,01/06/2020,BLACK,1
165,01/06/2021,BLACK,2
166,01/06/2022,ASIAN / PACIFIC ISLANDER,1
167,01/06/2022,BLACK,1
168,01/06/2022,BLACK HISPANIC,2
169,01/06/2022,WHITE HISPANIC,2
170,01/07/2006,BLACK,1
171,01/07/2006,WHITE HISPANIC,1
172,01/07/2007,BLACK,3
173,01/07/2007,WHITE HISPANIC,2
174,01/07/2008,BLACK,4
175,01/07/2008,WHITE HISPANIC,1
176,01/07/2010,BLACK,1
177,01/07/2012,BLACK,4
178,01/07/2013,BLACK,10
179,01/07/2013,BLACK HISPANIC,1
180,01/07/2014,BLACK,1
181,01/07/2015,BLACK,2
182,01/07/2016,WHITE HISPANIC,1
183,01/07/2019,BLACK,2
184,01/07/2020,BLACK,4
185,01/07/2020,BLACK HISPANIC,1
186,01/07/2020,WHITE,2
187,01/07/2021,BLACK,1
188,01/07/2021,WHITE HISPANIC,1
189,01/07/2022,BLACK,3
190,01/07/2022,BLACK HISPANIC,2
191,01/08/2006,BLACK,4
192,01/08/2007,BLACK,2
193,01/08/2008,BLACK,1
194,01/08/2008,BLACK HISPANIC,1
195,01/08/2009,ASIAN / PACIFIC ISLANDER,1
196,01/08/2009,BLACK,1
197,01/08/2010,BLACK,1
198,01/08/2010,WHITE,2
199,01/08/2010,WHITE HISPANIC,1
200,01/08/2011,BLACK HISPANIC,1
201,01/08/2012,BLACK,1
202,01/08/2012,BLACK HISPANIC,2
203,01/08/2012,WHITE HISPANIC,2
204,01/08/2013,BLACK,5
205,01/08/2013,BLACK HISPANIC,2
206,01/08/2014,BLACK,2
207,01/08/2015,BLACK,2
208,01/08/2018,WHITE HISPANIC,1
209,01/08/2019,BLACK,1
210,01/08/2019,WHITE HISPANIC,2
211,01/08/2021,BLACK,1
212,01/08/2021,WHITE HISPANIC,1
213,01/08/2022,BLACK,3
214,01/09/2006,ASIAN / PACIFIC ISLANDER,3
215,01/09/2006,BLACK,6
216,01/09/2007,WHITE HISPANIC,3
217,01/09/2008,WHITE HISPANIC,1
218,01/09/2009,WHITE HISPANIC,1
219,01/09/2010,BLACK HISPANIC,2
220,01/09/2010,WHITE HISPANIC,3
221,01/09/2011,BLACK,2
222,01/09/2011,BLACK HISPANIC,2
223,01/09/2012,BLACK,2
224,01/09/2013,BLACK,1
225,01/09/2013,BLACK HISPANIC,1
226,01/09/2014,BLACK,1
227,01/09/2015,BLACK,1
228,01/09/2016,BLACK,4
229,01/09/2016,WHITE HISPANIC,1
230,01/09/2018,BLACK,3
231,01/09/2018,WHITE HISPANIC,1
232,01/09/2019,BLACK,1
233,01/09/2020,BLACK,1
234,01/09/2020,WHITE HISPANIC,1
235,01/09/2021,BLACK,1
236,01/09/2021,WHITE HISPANIC,1
237,01/09/2022,BLACK HISPANIC,4
238,01/09/2022,WHITE HISPANIC,1
239,01/10/2006,BLACK,2
240,01/10/2006,BLACK HISPANIC,1
241,01/10/2006,WHITE HISPANIC,2
242,01/10/2007,BLACK,2
243,01/10/2008,BLACK,2
244,01/10/2009,ASIAN / PACIFIC ISLANDER,1
